,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
0,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,新築マンション,神奈川県横浜市神奈川区鶴屋町１,東急東横線,横浜,－徒歩3分,1億7880万円,58.13m2（17.58坪）（壁芯）,2LDK,-
1,エステムプラザ湘南藤沢,新築マンション,神奈川県藤沢市鵠沼橘１-16-2,ＪＲ東海道本線,藤沢,－徒歩4分,3480万円,30.18m2（9.12坪）（壁芯）,1LDK,-
2,ガーラレジデンス綱島リバープレイス,中古マンション,神奈川県横浜市鶴見区駒岡５,東急東横線,綱島,－徒歩19分,3980万円,66.38m2,3LDK,2016年3月
3,シエリア横浜鶴見,中古マンション,神奈川県横浜市鶴見区鶴見中央２,ＪＲ京浜東北線,鶴見,－徒歩5分,5180万円,53.92m2（16.31坪）（壁芯）,2LDK,2017年7月
4,ロイヤルタワー横濱鶴見,中古マンション,神奈川県横浜市鶴見区鶴見中央１,ＪＲ京浜東北線,鶴見,－徒歩1分,7180万円,59.4m2（壁芯）,2LDK,2010年9月
5,イニシア菊名桜山公園,中古マンション,神奈川県横浜市神奈川区松見町４,東急東横線,菊名,－徒歩11分,4980万円,77.51m2（23.44坪）（壁芯）,3LDK,2010年8月
6,ザ・パークハウス横浜新子安テラス,中古マンション,神奈川県横浜市神奈川区新子安１,ＪＲ京浜東北線,新子安,－徒歩6分,5690万円,63.29m2（19.14坪）（壁芯）,2LDK,2015年2月
7,THE YOKOHAMA FRONT TOWER,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ京浜東北線,横浜,－徒歩3分,1億5000万円,55.48m2（16.78坪）（壁芯）,2LDK,2023年12月
8,THE YOKOHAMA FRONT TOWER,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ京浜東北線,横浜,－徒歩3分,1億5980万円,55.48m2（壁芯）,2LDK,2023年12月
9,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ東海道本線,横浜,－徒歩4分,1億7880万円,58.13m2（17.58坪）（壁芯）,2LDK,2023年12月
10,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ東海道本線,横浜,－徒歩3分,2億4200万円,71.44m2（21.61坪）（壁芯）,2LDK,2023年12月
11,クリオ西横浜ブライトマークス,中古マンション,神奈川県横浜市西区久保町,相鉄本線,西横浜,－徒歩5分,5280万円,58.5m2（17.69坪）（壁芯）,3LDK,2022年1月
12,クリオ横濱浅間町,中古マンション,神奈川県横浜市西区浅間町４,相鉄本線,平沼橋,－徒歩10分,5780万円,62.39m2（18.87坪）（壁芯）,3LDK,2018年3月
13,オープンレジデンシア横浜,中古マンション,神奈川県横浜市西区西平沼町,相鉄本線,平沼橋,－徒歩1分,6690万円,64.6m2,3LDK,2022年5月
14,クリオレジダンス横濱ザ・マークス,中古マンション,神奈川県横浜市西区花咲町６,ブルーライン,高島町,－徒歩4分,6790万円,55.94m2（壁芯）,2LDK,2018年7月
15,メルディア横濱桜木町,中古マンション,神奈川県横浜市西区戸部町２,ＪＲ京浜東北線,桜木町,－徒歩10分,8480万円,76.31m2（壁芯）,2LDK,2013年2月
16,シティテラス横濱サウス,中古マンション,神奈川県横浜市西区伊勢町３,京急本線,戸部,－徒歩6分,8980万円,70.2m2（壁芯）,3LDK,2019年1月
17,ブランズタワーみなとみらい,中古マンション,神奈川県横浜市西区みなとみらい３,みなとみらい線,みなとみらい,－徒歩2分,1億4580万円,61.28m2（壁芯）,2LDK,2017年1月
18,ブランズタワーみなとみらい,中古マンション,神奈川県横浜市西区みなとみらい３-7-2,みなとみらい線,みなとみらい,－徒歩2分,1億7800万円,75.59m2（壁芯）,3LDK,2017年1月
19,グランドメゾン伊勢山　E棟,中古マンション,神奈川県横浜市西区宮崎町,ＪＲ根岸線,桜木町,－徒歩5分,3億1800万円,161.05m2（壁芯）,3LDK,2011年8月
20,イニシア横浜桜木町,中古マンション,神奈川県横浜市中区野毛町２,ＪＲ京浜東北線,桜木町,－徒歩4分,4580万円,39.85m2（壁芯）,1LDK,2020年2月
21,ブリリア横濱山手,中古マンション,神奈川県横浜市中区竹之丸,ＪＲ京浜東北線,山手,－徒歩5分,7480万円,70.5m2（壁芯）,3LDK,2020年3月
22,プレシス横濱山手パークフロント,中古マンション,神奈川県横浜市中区山元町５,ＪＲ京浜東北線,山手,－徒歩10分,1億1480万円,100m2（30.24坪）（壁芯）,3LDK,2017年10月
23,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,1億7500万円,80.82m2（24.44坪）（壁芯）,3LDK,2019年10月
24,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,2億1800万円,80.09m2（24.22坪）（壁芯）,3LDK,2019年10月
25,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,2億1800万円,80.09m2,3LDK,2019年10月
26,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,2億2000万円,80.09m2（24.22坪）（壁芯）,3LDK,2019年10月
27,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,2億2500万円,85.79m2（25.95坪）（壁芯）,2LDK,2019年10月
28,クリオ横濱元町通り,中古マンション,神奈川県横浜市中区元町４,みなとみらい線,元町・中華街,－徒歩6分,2億3800万円,100.04m2（30.26坪）（壁芯）,3LDK,2021年8月
29,クリオ横濱元町通り,中古マンション,神奈川県横浜市中区元町４,みなとみらい線,元町・中華街,－徒歩6分,2億5400万円,110.23m2（33.34坪）（壁芯）,2LDK,2021年8月
30,パークコート山下公園,中古マンション,神奈川県横浜市中区山下町,みなとみらい線,元町・中華街,－徒歩2分,2億6800万円,94.98m2（壁芯）,2LDK+S（納戸）,2018年11月
31,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,3億1800万円,88.21m2（26.68坪）（壁芯）,2LDK,2019年10月
32,ウェリス弘明寺,中古マンション,神奈川県横浜市南区大岡１,ブルーライン,弘明寺,－徒歩10分,4099万円,73.8m2（壁芯）,3LDK,2014年1月
33,ウェリス弘明寺,中古マンション,神奈川県横浜市南区大岡１,ブルーライン,弘明寺,－徒歩10分,4099万円,73.8m2,3LDK,2014年1月
34,ナイスシティアリーナ横濱星川,中古マンション,神奈川県横浜市保土ケ谷区和田１-7-32,相鉄本線,和田町,－徒歩6分,4680万円,62.82m2（19.00坪）（壁芯）,3LDK,2014年2月
35,■　ヴェレーナ横浜磯子　4階　■　南西向き　/　ペット2匹飼育可　/ リフォーム済み,中古マンション,神奈川県横浜市磯子区丸山２,ブルーライン,蒔田,－徒歩23分,4288万円,75.6m2（壁芯）,3LDK,2010年3月
36,シティテラス横濱新杉田,中古マンション,神奈川県横浜市磯子区中原２,ＪＲ京浜東北線,新杉田,－徒歩3分,5980万円,66.26m2（20.04坪）,2LDK+S（納戸）,2020年3月
37,ブリリアシティ横浜磯子,中古マンション,神奈川県横浜市磯子区磯子台,ＪＲ根岸線,磯子,－徒歩7分,6480万円,75.91m2（壁芯）,3LDK,2013年5月
38,ブリリアシティ横浜磯子,中古マンション,神奈川県横浜市磯子区磯子台,ＪＲ根岸線,磯子,－徒歩9分,6480万円,86.42m2（壁芯）,3LDK+S（納戸）,2013年5月
39,Ｂｒｉｌｌｉａ　Ｃｉｔｙ横浜磯子Ｇ棟,中古マンション,神奈川県横浜市磯子区磯子台２７,ＪＲ京浜東北線,磯子,－徒歩8分,7280万円,80.73m2（24.42坪）（壁芯）,3LDK,2013年5月
40,ソルティア新横浜,中古マンション,神奈川県横浜市港北区新横浜１,ＪＲ横浜線,新横浜,－徒歩9分,3680万円,32.65m2（壁芯）,1LDK,2019年11月
41,ザ・パークハウス港北高田,中古マンション,神奈川県横浜市港北区高田西１,グリーンライン,高田,－徒歩7分,4950万円,68.22m2（20.63坪）（壁芯）,3LDK,2012年9月
42,デイパーク横濱綱島,中古マンション,神奈川県横浜市港北区樽町３,東急新横浜線,新綱島,－徒歩19分,4980万円,62.93m2（壁芯）,3LDK,2011年2月
43,【LC’S専任物件】アイディーコート日吉×H31年フルリフォーム履歴あり♪,中古マンション,神奈川県横浜市港北区箕輪町２,東急新横浜線,新綱島,－徒歩15分,5730万円,84.85m2（壁芯）,4LDK,2009年7月
44,アールブラン綱島,中古マンション,神奈川県横浜市港北区樽町２,東急東横線,綱島,－徒歩7分,6380万円,66.18m2（壁芯）,3LDK,2011年10月
45,シティテラス横濱戸塚Ｄ棟,中古マンション,神奈川県横浜市戸塚区秋葉町,ＪＲ東海道本線,戸塚,バス13分停歩4分,3498万円,70.14m2（21.21坪）（壁芯）,3LDK,2017年11月
46,ヴェレーナ東戸塚,中古マンション,神奈川県横浜市戸塚区前田町,ＪＲ横須賀線,東戸塚,－徒歩14分,4499万円,70.55m2（21.34坪）（壁芯）,3LDK,2012年1月
47,プラウドシティ上大岡四番館,中古マンション,神奈川県横浜市港南区上大岡西３,京急本線,上大岡,－徒歩8分,6980万円,93.54m2,4LDK,2009年8月
48,オーベル大船マークスコート～新規内装フルリノベーション～,中古マンション,神奈川県横浜市栄区笠間５,ＪＲ根岸線,本郷台,－徒歩15分,3980万円,68.2m2（壁芯）,3LDK,2012年2月
49,パークホームズ大船リファージュ,中古マンション,神奈川県横浜市栄区笠間３,ＪＲ東海道本線,大船,－徒歩12分,4680万円,63.46m2（19.19坪）（壁芯）,3LDK,2012年10月
50,サンアリーナ横浜藤が丘,中古マンション,神奈川県横浜市青葉区千草台,東急田園都市線,藤が丘,－徒歩16分,3180万円,70.92m2（壁芯）,3LDK,2012年3月
51,サンアリーナ横浜藤が丘,中古マンション,神奈川県横浜市青葉区千草台,東急田園都市線,藤が丘,－徒歩14分,3990万円,70.92m2（壁芯）,3LDK,2012年3月
52,ミオカステーロあざみ野Ⅱ,中古マンション,神奈川県横浜市青葉区荏田町,東急田園都市線,あざみ野,－徒歩18分,4490万円,69.22m2（壁芯）,3LDK,2023年11月
53,ブランズ市が尾ガーデン,中古マンション,神奈川県横浜市青葉区市ケ尾町,東急田園都市線,市が尾,－徒歩14分,5300万円,78.73m2（23.81坪）（壁芯）,4LDK,2014年9月
54,ピアースたまプラーザ,中古マンション,神奈川県横浜市青葉区美しが丘１,東急田園都市線,たまプラーザ,－徒歩5分,8180万円,48.19m2（14.57坪）（壁芯）,1LDK,2020年7月
55,ピアースたまプラーザ,中古マンション,神奈川県横浜市青葉区美しが丘１,東急田園都市線,たまプラーザ,－徒歩5分,8180万円,48.19m2（壁芯）,1LDK,2020年7月
56,ピアースたまプラーザ,中古マンション,神奈川県横浜市青葉区美しが丘１,東急田園都市線,たまプラーザ,－徒歩5分,8180万円,48.19m2（壁芯）,1LDK,2020年7月
57,◆２０１９年東京建物分譲ブランド【Brillia美しが丘】～四季折々の植栽と暮らす～,中古マンション,神奈川県横浜市青葉区美しが丘２,東急田園都市線,たまプラーザ,－徒歩8分,9980万円,78.3m2（壁芯）,2LDK+S（納戸）,2019年8月
58,フィスナレジデンスセンター南,中古マンション,神奈川県横浜市都筑区荏田南４,東急田園都市線,江田,－徒歩18分,3880万円,73.03m2（壁芯）,3LDK,2009年11月
59,ベルジェンドセンター南デュアリエ,中古マンション,神奈川県横浜市都筑区茅ケ崎中央,ブルーライン,センター南,－徒歩5分,5500万円,53.6m2（16.21坪）（壁芯）,1LDK,2018年2月
60,シティテラス横濱仲町台弐番館,中古マンション,神奈川県横浜市都筑区茅ケ崎南１,ブルーライン,仲町台,－徒歩11分,5880万円,70.03m2（21.18坪）（壁芯）,3LDK+S（納戸）,2017年10月
61,シティテラス横濱仲町台弐番館,中古マンション,神奈川県横浜市都筑区茅ケ崎南１,ブルーライン,仲町台,－徒歩12分,6480万円,75.14m2（22.72坪）（壁芯）,3LDK,2017年10月
62,シティテラス横濱仲町台壱番管,中古マンション,神奈川県横浜市都筑区茅ケ崎南２,ブルーライン,仲町台,－徒歩7分,9680万円,97.24m2（壁芯）,3LDK+S（納戸）,2012年8月
63,グリーンシア川崎京町,中古マンション,神奈川県川崎市川崎区京町３,ＪＲ東海道本線,川崎,バス16分停歩3分,3899万円,75.19m2（壁芯）,3LDK,2012年10月
64,クオス新川崎　夢見ヶ崎公園,中古マンション,神奈川県川崎市幸区南加瀬１,ＪＲ横須賀線,新川崎,－徒歩15分,4780万円,65.56m2（壁芯）,3LDK,2017年1月
65,パークタワー新川崎,中古マンション,神奈川県川崎市幸区鹿島田１,ＪＲ横須賀線,新川崎,－徒歩4分,4980万円,53.71m2（壁芯）,1LDK,2016年10月
66,パークタワー新川崎,中古マンション,神奈川県川崎市幸区鹿島田１,ＪＲ南武線,鹿島田,－徒歩3分,4980万円,53.71m2（壁芯）,1LDK,2016年10月
67,～クレストレジデンス新川崎～3LDK+BWIC+WIC,中古マンション,神奈川県川崎市幸区北加瀬２,ＪＲ横須賀線,新川崎,－徒歩12分,5500万円,80.14m2（壁芯）,3LDK,2012年5月
68,ガーラレジデンス川崎プロムナード,中古マンション,神奈川県川崎市幸区神明町２,ＪＲ南武線,矢向,－徒歩8分,5680万円,63.44m2（壁芯）,3LDK,2018年2月
69,パークタワー新川崎,中古マンション,神奈川県川崎市幸区鹿島田１,湘南新宿ライン宇須,新川崎,－徒歩3分,7480万円,60.94m2（壁芯）,2LDK,2016年10月
70,ステーションスイート,中古マンション,神奈川県川崎市幸区新川崎,ＪＲ横須賀線,新川崎,－徒歩3分,7980万円,76.47m2（23.13坪）（壁芯）,2LDK,2010年2月
71,ディアスタ平間,中古マンション,神奈川県川崎市中原区中丸子,ＪＲ南武線,平間,－徒歩6分,5780万円,67.44m2（壁芯）,3LDK,2014年3月
72,プラウド武蔵中原トレサージュ,中古マンション,神奈川県川崎市中原区上小田中７,ＪＲ南武線,武蔵中原,－徒歩9分,7070万円,70.78m2（壁芯）,3LDK,2016年10月
73,プラウドシティ元住吉,中古マンション,神奈川県川崎市中原区井田三舞町,東急東横線,元住吉,－徒歩10分,7980万円,76.12m2（壁芯）,3LDK,2013年4月
74,パークシティ武蔵小杉ザガーデンタワーズイースト,中古マンション,神奈川県川崎市中原区小杉町２,東急東横線,武蔵小杉,－徒歩5分,1億480万円,75.16m2（22.73坪）（壁芯）,3LDK,2017年11月
75,パークシティ武蔵小杉　ザ　ガーデン　タワーズウエスト,中古マンション,神奈川県川崎市中原区小杉町２,東急東横線,武蔵小杉,－徒歩5分,1億1500万円,70.79m2（壁芯）,2LDK,2018年10月
76,バースシティ溝の口ティアラ,中古マンション,神奈川県川崎市高津区久本１,ＪＲ南武線,武蔵溝ノ口,－徒歩6分,5280万円,60.73m2（壁芯）,2LDK,2015年5月
77,クリオ溝の口ブライトマークス,中古マンション,神奈川県川崎市高津区下作延４,東急田園都市線,溝の口,－徒歩13分,5400万円,72.33m2（壁芯）,1LDK+S（納戸）,2021年1月
78,バースヒル溝の口リベルテB,中古マンション,神奈川県川崎市高津区末長１-1-14,東急田園都市線,溝の口,－徒歩8分,5480万円,60m2（18.14坪）（壁芯）,2LDK,2016年7月
79,ロイヤルシーズン梶が谷,中古マンション,神奈川県川崎市高津区末長１,東急田園都市線,梶が谷,－徒歩4分,5800万円,66.39m2（壁芯）,3LDK,2012年1月
80,ロイヤルシーズン梶が谷,中古マンション,神奈川県川崎市高津区末長１,東急田園都市線,梶が谷,－徒歩3分,6790万円,85.63m2（25.90坪）（壁芯）,3LDK,2012年2月
81,ドレッセ二子新地,中古マンション,神奈川県川崎市高津区二子１,東急田園都市線,二子新地,－徒歩6分,7990万円,73.77m2（壁芯）,3LDK,2014年11月
82,ライフレビュー川崎久地プライムヒル,中古マンション,神奈川県川崎市多摩区長尾６,ＪＲ南武線,久地,－徒歩12分,4750万円,66.96m2（壁芯）,3LDK,2022年1月
83,サンクレイドル向ヶ丘遊園,中古マンション,神奈川県川崎市多摩区登戸,小田急線,向ヶ丘遊園,－徒歩5分,4980万円,52.5m2（壁芯）,2LDK,2017年2月
84,バースシティ久地Ｓ－Ｃｏｕｒｔ,中古マンション,神奈川県川崎市多摩区堰３,ＪＲ南武線,久地,－徒歩3分,5680万円,60.58m2（壁芯）,3LDK,2019年8月
85,ランドステージたまプラーザⅡ,中古マンション,神奈川県川崎市宮前区犬蔵２-22-18,東急田園都市線,たまプラーザ,－徒歩16分,4180万円,62.16m2,2LDK,2011年4月
86,ブリシア宮崎台,中古マンション,神奈川県川崎市宮前区馬絹５,東急田園都市線,宮崎台,－徒歩14分,4680万円,62.15m2（壁芯）,3LDK,2019年11月
87,サンクタス宮崎台,中古マンション,神奈川県川崎市宮前区馬絹１,東急田園都市線,宮崎台,－徒歩10分,6180万円,73.8m2（壁芯）,3LDK,2011年1月
88,パークシティ新百合ヶ丘エアリーコート,中古マンション,神奈川県川崎市麻生区百合丘３,小田急線,新百合ヶ丘,－徒歩17分,4290万円,71.38m2（壁芯）,3LDK,2009年12月
89,アデニウム上麻生,中古マンション,神奈川県川崎市麻生区上麻生５,小田急線,柿生,－徒歩9分,4380万円,75.92m2（壁芯）,3LDK,2017年3月
90,リーフィアレジデンスはるひ野,中古マンション,神奈川県川崎市麻生区はるひ野４,小田急多摩線,はるひ野,－徒歩1分,6350万円,83.61m2（25.29坪）（壁芯）,2LDK,2013年1月
91,ラ・アトレレジデンス新百合ヶ丘,中古マンション,神奈川県川崎市麻生区百合丘２,小田急線,新百合ヶ丘,－徒歩11分,6480万円,73.48m2（壁芯）,4LDK,2019年7月
92,プレシス相模原リベール,中古マンション,神奈川県相模原市中央区相模原５,ＪＲ横浜線,相模原,－徒歩5分,3780万円,64.93m2（壁芯）,3LDK,2018年10月
93,オハナ淵野辺ガーデニア　エアリーレジデンス,中古マンション,神奈川県相模原市中央区淵野辺２,ＪＲ横浜線,淵野辺,－徒歩10分,4180万円,75m2（22.68坪）（壁芯）,3LDK,2016年11月
94,リーフィアレジデンス相模大野　504号室,中古マンション,神奈川県相模原市南区相模大野３,小田急線,相模大野,－徒歩4分,6280万円,74.45m2（壁芯）,3LDK,2015年1月
95,リーフィアレジデンス相模大野,中古マンション,神奈川県相模原市南区相模大野３,小田急線,相模大野,－徒歩2分,6280万円,74.45m2,3LDK,2015年1月
96,リーフィアレジデンス相模大野,中古マンション,神奈川県相模原市南区相模大野３,小田急線,相模大野,－徒歩2分,6280万円,74.45m2（壁芯）,3LDK,2015年1月
97,アクアテラス追浜ベイサイドパーク・5階,中古マンション,神奈川県横須賀市浦郷町２,京急本線,追浜,－徒歩19分,2480万円,76.2m2（壁芯）,3LDK,2013年5月
98,アクアテラス追浜ベイサイドパーク,中古マンション,神奈川県横須賀市浦郷町２,京急本線,追浜,－徒歩22分,2480万円,76.2m2（壁芯）,3LDK,2013年5月
99,プラウド鎌倉岩瀬,中古マンション,神奈川県鎌倉市岩瀬１,ＪＲ東海道本線,大船,－徒歩11分,6180万円,73.64m2（壁芯）,3LDK,2014年6月
100,パークコート鎌倉,中古マンション,神奈川県鎌倉市佐助１,ＪＲ横須賀線,鎌倉,－徒歩11分,1億9800万円,112.18m2（33.93坪）（壁芯）,2LDK,2011年1月
101,エステムプラザ湘南藤沢,中古マンション,神奈川県藤沢市鵠沼橘１,ＪＲ東海道本線,藤沢,－徒歩4分,3480万円,30.18m2,1LDK,2023年1月
102,パークホームズ藤沢二丁目,中古マンション,神奈川県藤沢市藤沢２,小田急江ノ島線,藤沢本町,－徒歩6分,3780万円,65.03m2（19.67坪）（壁芯）,3LDK,2009年9月
103,エステムプラザ湘南藤沢,中古マンション,神奈川県藤沢市鵠沼橘１,湘南新宿ライン高海,藤沢,－徒歩4分,3800万円,30.18m2（9.12坪）（壁芯）,1LDK,2023年1月
104,リコットハウス藤沢,中古マンション,神奈川県藤沢市本町１,ＪＲ東海道本線,藤沢,－徒歩12分,5180万円,70m2（21.17坪）（壁芯）,2LDK+S（納戸）,2017年4月
105,ピアース湘南辻堂,中古マンション,神奈川県藤沢市辻堂１,ＪＲ東海道本線,辻堂,－徒歩3分,5980万円,55.45m2,2LDK,2022年2月
106,ナイスアーバン藤沢鵠沼,中古マンション,神奈川県藤沢市鵠沼橘１,ＪＲ東海道本線,藤沢,－徒歩6分,6880万円,65.92m2（19.94坪）（壁芯）,3LDK,2014年2月
107,プレミスト湘南辻堂アクアフェイス,中古マンション,神奈川県藤沢市羽鳥１,ＪＲ東海道本線,辻堂,－徒歩9分,6980万円,72.4m2（壁芯）,3LDK,2018年12月
108,クラッシィハウス湘南藤沢,中古マンション,神奈川県藤沢市藤沢,ＪＲ東海道本線,藤沢,－徒歩3分,7280万円,70.1m2（壁芯）,3LDK,2018年1月
109,【藤沢店媒介物件】シティテラス藤沢鵠沼エアーズコート,中古マンション,神奈川県藤沢市鵠沼橘１,ＪＲ東海道本線,藤沢,－徒歩5分,8480万円,72m2（21.77坪）（壁芯）,3LDK,2019年1月
110,リストレジデンス辻堂タワー,中古マンション,神奈川県藤沢市辻堂１,ＪＲ東海道本線,辻堂,－徒歩1分,8980万円,75.01m2（壁芯）,3LDK,2010年12月
111,ザ・パークハウス茅ヶ崎本村,中古マンション,神奈川県茅ヶ崎市本村１,ＪＲ東海道本線,茅ケ崎,－徒歩12分,3580万円,66.13m2,3LDK,2011年11月
112,グレーシアタワーズ海老名ウエスト,中古マンション,神奈川県海老名市扇町,ＪＲ相模線,海老名,－徒歩4分,5180万円,56.86m2（17.20坪）（壁芯）,2LDK,2020年1月
113,グレーシアタワーズ海老名イースト,中古マンション,神奈川県海老名市扇町,小田急小田原線,海老名,－徒歩7分,6680万円,75.52m2（22.84坪）（壁芯）,3LDK,2019年5月
114,リーフィアタワー海老名ブリスコート,中古マンション,神奈川県海老名市めぐみ町,小田急小田原線,海老名,－徒歩4分,7480万円,78.93m2（壁芯）,3LDK,2020年10月
115,リビオタワー小田急相模原レジデンス,中古マンション,神奈川県座間市相模が丘１,小田急小田原線,小田急相模原,－徒歩3分,4080万円,73.61m2,3LDK+S（納戸）,2019年1月
116,リーフィアレジデンス開成ステーションイースト,中古マンション,神奈川県足柄上郡開成町吉田島,小田急小田原線,開成,－徒歩4分,2980万円,67.43m2（20.39坪）（壁芯）,2LDK,2017年1月
117,ミレニアムレジデンス箱根,中古マンション,神奈川県足柄下郡箱根町湯本,箱根登山鉄道,箱根湯本,－徒歩10分,2300万円,58.26m2（壁芯）,2LDK,2010年3月
118,鶴見区浜町１丁目　全３棟分譲地,新築一戸建て,神奈川県横浜市鶴見区浜町１,ＪＲ京浜東北線,鶴見,バス13分停歩2分,3380万円,42.2m2（12.76坪）（実測）,2LDK+S（納戸）※車庫面積：7.78平米,-
119,汐入町３（浅野駅） 3990万円,新築一戸建て,神奈川県横浜市鶴見区汐入町３,ＪＲ鶴見線,浅野,－徒歩9分,3990万円,47.11m2（14.25坪）,3LDK,-
120,汐入町１（鶴見小野駅） 4080万円～4280万円,新築一戸建て,神奈川県横浜市鶴見区汐入町１,ＪＲ鶴見線,鶴見小野,－徒歩5分,4080万円～4280万円,48.29m2～49.58m2（14.60坪～14.99坪）（実測）,2LDK+S（納戸）～3LDK,-
121,馬場２（菊名駅） 4280万円,新築一戸建て,神奈川県横浜市鶴見区馬場２,東急東横線,菊名,－徒歩22分,4280万円,75.65m2（実測）,2LDK+S（納戸）,-
122,下野谷町３（鶴見小野駅） 4480万円・4680万円,新築一戸建て,神奈川県横浜市鶴見区下野谷町３-１０２－４,ＪＲ鶴見線,鶴見小野,－徒歩4分,4480万円・4680万円,44.43m2・45.43m2（実測）,3LDK,-
123,寛政町 4580万円,新築一戸建て,神奈川県横浜市鶴見区寛政町,ＪＲ京浜東北線,鶴見,バス15分停歩4分,4580万円,62.36m2（18.86坪）（実測）,4LDK,-
124,生麦４（花月総持寺駅） 4680万円・4880万円,新築一戸建て,神奈川県横浜市鶴見区生麦４,京急本線,花月総持寺,－徒歩9分,4680万円・4880万円,52.01m2・52.56m2（15.73坪・15.89坪）,2LDK+S（納戸）・3LDK,-
125,鶴見区下末吉６丁目 新築戸建,新築一戸建て,神奈川県横浜市鶴見区下末吉６,ＪＲ京浜東北線,鶴見,バス13分停歩3分,4780万円,113.75m2（34.40坪）,3LDK+S（納戸）,-
126,東寺尾北台（鶴見駅） 4790万円,新築一戸建て,神奈川県横浜市鶴見区東寺尾北台,ＪＲ京浜東北線,鶴見,－徒歩17分,4790万円,65.99m2,3LDK+S（納戸）,-
127,東寺尾東台（生麦駅） 4899万円～5490万円,新築一戸建て,神奈川県横浜市鶴見区東寺尾東台,京急本線,生麦,－徒歩16分,4899万円～5490万円,86.14m2～103.58m2（26.05坪～31.33坪）,3LDK～4LDK+S（納戸）,-
128,東寺尾中台（花月総持寺駅） 4980万円～5580万円,新築一戸建て,神奈川県横浜市鶴見区東寺尾中台,京急本線,花月総持寺,－徒歩19分,4980万円～5580万円,81.76m2～278.87m2（実測）,4LDK,-
129,馬場３ 4990万円～5690万円,新築一戸建て,神奈川県横浜市鶴見区馬場３,ＪＲ京浜東北線,鶴見,バス8分停歩4分,4990万円～5690万円,100.21m2～158.55m2（30.31坪～47.96坪）,3LDK～4LDK,-
130,市場富士見町　新築戸建,新築一戸建て,神奈川県横浜市鶴見区市場富士見町,京急本線,鶴見市場,－徒歩5分,5280万円,46.28m2（13.99坪）（実測）,3LDK,-
131,向井町１（京急鶴見駅） 5580万円,新築一戸建て,神奈川県横浜市鶴見区向井町１,京急本線,京急鶴見,－徒歩13分,5580万円,65.35m2,3LDK,-
132,鶴見区江ケ崎町　全２棟分譲地,新築一戸建て,神奈川県横浜市鶴見区江ケ崎町,ＪＲ南武線,尻手,バス8分停歩3分,5580万円,66.97m2（20.25坪）（実測）,4LDK※車庫面積：7.29平米含む,-
133,馬場７（菊名駅） 5580万円・5630万円,新築一戸建て,神奈川県横浜市鶴見区馬場７,東急東横線,菊名,－徒歩19分,5580万円・5630万円,126.67m2・126.68m2,5LDK,-
134,馬場７（菊名駅） 5580万円・5630万円,新築一戸建て,神奈川県横浜市鶴見区馬場７,ＪＲ横浜線,菊名,－徒歩19分,5580万円・5630万円,126.67m2・126.68m2（実測）,5LDK,-
135,馬場７（菊名駅） 5580万円,新築一戸建て,神奈川県横浜市鶴見区馬場７,東急東横線,菊名,－徒歩19分,5580万円,126.68m2（実測）,5LDK,-
136,◇◆メルディアの仲介／鶴見区向井町　新築分譲住宅◆◇,新築一戸建て,神奈川県横浜市鶴見区向井町４,ＪＲ京浜東北線,鶴見,－徒歩23分,5590万円・5690万円,64.69m2・68.28m2,2LDK+2S（納戸）・3LDK+S（納戸）,-
137,向井町３（鶴見駅） 5780万円,新築一戸建て,神奈川県横浜市鶴見区向井町３,ＪＲ京浜東北線,鶴見,－徒歩21分,5780万円,66.26m2・66.3m2（20.04坪・20.05坪）（実測）,2LDK+3S（納戸）,-
138,岸谷３（鶴見駅） 5995万円,新築一戸建て,神奈川県横浜市鶴見区岸谷３,ＪＲ京浜東北線,鶴見,－徒歩16分,5995万円,254.28m2（76.91坪）,4LDK,-
139,横浜市鶴見区潮田町２丁目　新築戸建　全2棟,新築一戸建て,神奈川県横浜市鶴見区潮田町２,ＪＲ京浜東北線,鶴見,－徒歩15分,6180万円,75.69m2（22.89坪）（実測）,3LDK+S（納戸）-,-
