,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
15087,下山口（逗子・葉山駅） 1億6500万円,新築一戸建て,神奈川県三浦郡葉山町下山口,京急逗子線,逗子・葉山,－徒歩57分,1億6500万円,231.4m2（69.99坪）,3LDK,-
15088,下山口 1億6500万円,新築一戸建て,神奈川県三浦郡葉山町下山口,京急逗子線,逗子・葉山,バス10分停歩7分,1億6500万円,230.96m2,3LDK+S（納戸）,-
15089,☆～海・富士山・江の島、そして御用邸を一望する圧巻の眺望に豪華な邸宅～☆,新築一戸建て,神奈川県三浦郡葉山町堀内,ＪＲ横須賀線,逗子,バス12分停歩6分,2億6850万円,359.21m2（登記）,3LDK,-
15090,倉見（倉見駅） 2580万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円,100.24m2（実測）,2LDK+S（納戸）,-
15091,倉見（門沢橋駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見350,ＪＲ相模線,門沢橋,－徒歩10分～10分,2580万円・2680万円,100.24m2・117.96m2（30.32坪・35.68坪）,2LDK+2S（納戸）・3LDK,-
15092,倉見（門沢橋駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見350,ＪＲ相模線,門沢橋,－徒歩10分～10分,2580万円・2680万円,100.24m2・117.96m2（30.32坪・35.68坪）,2LDK+2S（納戸）・3LDK,-
15093,寒川町倉見　新築分譲住宅,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円・2680万円,100.24m2・117.96m2（実測）,2LDK+2S（納戸）・3LDK,-
15094,倉見（倉見駅） 2580万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩11分,2580万円,100.24m2（30.32坪）（実測）,2LDK+S（納戸）,-
15095,倉見（倉見駅） 2580万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円,100.24m2（30.32坪）,2LDK+2S（納戸）,-
15096,倉見（倉見駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円・2680万円,100.24m2・117.96m2（30.32坪・35.68坪）,2LDK+2S（納戸）・3LDK,-
15097,倉見（倉見駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見350番5,ＪＲ相模線,倉見,－徒歩10分,2580万円・2680万円,100.24m2・117.96m2（30.32坪・35.68坪）,2LDK+2S（納戸）・3LDK,-
15098,倉見（倉見駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円・2680万円,100.24m2・117.96m2,2LDK+2S（納戸）・3LDK,-
15099,倉見（倉見駅） 2580万円・2680万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2580万円・2680万円,100.24m2・117.96m2（30.32坪・35.68坪）,3LDK,-
15100,小動（宮山駅） 2680万円,新築一戸建て,神奈川県高座郡寒川町小動,ＪＲ相模線,宮山,－徒歩18分,2680万円,100.07m2（30.27坪）,3LDK,-
15101,倉見（倉見駅） 2680万円,新築一戸建て,神奈川県高座郡寒川町倉見350,ＪＲ相模線,倉見,－徒歩10分,2680万円,117.96m2（35.68坪）,3LDK,-
15102,岡田５（寒川駅） 2680万円,新築一戸建て,神奈川県高座郡寒川町岡田５,ＪＲ相模線,寒川,－徒歩14分,2680万円,118.48m2（登記）,3LDK,-
15103,倉見（倉見駅） 2680万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩11分,2680万円,117.96m2（35.68坪）（実測）,3LDK,-
15104,一之宮４（寒川駅） 2780万円・2980万円,新築一戸建て,神奈川県高座郡寒川町一之宮４,ＪＲ相模線,寒川,－徒歩13分,2780万円・2980万円,80.21m2～81.14m2（24.26坪～24.54坪）,2LDK+S（納戸）～3LDK,-
15105,一之宮４（寒川駅） 2780万円・2980万円,新築一戸建て,神奈川県高座郡寒川町一之宮４,ＪＲ相模線,寒川,－徒歩13分,2780万円・2980万円,80.21m2～81.14m2（24.26坪～24.54坪）,2LDK+S（納戸）～3LDK,-
15106,一之宮４（寒川駅） 2780万円,新築一戸建て,神奈川県高座郡寒川町一之宮４,ＪＲ相模線,寒川,－徒歩13分,2780万円,96.14m2（29.08坪）、路地状部分：33.71％含,2LDK+S（納戸）,-
15107,倉見（倉見駅） 2780万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2780万円,100.24m2（実測）,2LDK+S（納戸）,-
15108,倉見（倉見駅） 2780万円～3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2780万円～3080万円,100.24m2～117.96m2（30.32坪～35.68坪）（登記）,2LDK+S（納戸）～4LDK,-
